fuente,nombre,marca,categoria,url,ingredientes,condiciones_alimentarias,porcion,porciones_por_envase,energia_kcal,proteinas_g,grasas_totales_g,grasas_saturadas_g,grasas_trans_g,colesterol_mg,carbohidratos_g,azucares_g,sodio_mg,fibra_dietetica_g,tipo_alimento,base_calculo,sello_alto_calorias,sello_alto_azucares,sello_alto_grasas_sat,sello_alto_sodio,total_sellos
Jumbo,Gomitas Frugelé Frutos Más Yogurt 180 g,Ambrosoli,"Gomitas y Chicles > Dulces > Chocolates, Galletas y Snacks",https://www.jumbo.cl/gomitas-frugele-ambrosoli-180-g-frutos-mas-yoghurt,"Azúcar,  Jarabe de glucosa,  Pulpa de fruta (10%),  Yoghurt natural líquido (6%),  Almidón modificado,  Gelatina,  ácido láctico,  ácido cítrico,  Saborizantes artificiales,  Colorantes tartrazina,  Colorante caramelo,  Colorante rojo allura ac,  Colorante amarillo crepúsculo,  Colorante indigotina,  Colorante azul brillante fcf,  Sulfitos,  Leche",Libre de Mariscos,6 Unidades (25 g),7,342 / 85.5,2.9 / 0.7,0.3 / 0.1,0.2 / 0.1,0 / 0,0.8 / 0.2,82 / 20.5,67 / 16.8,47 / 11.8,,solido,por_100g,SI,SI,NO,NO,2
Jumbo,Yogurt Soprole Batifrut Damasco 165 g,Soprole,"Yoghurt > Lácteos, Huevos y Congelados",https://www.jumbo.cl/yog-bat-dam-165g-2056630,"Leche natural entera,  Damasco en cubos (9.7%),  Maltitol,  Almidón de maíz modificado,  Saborizante idéntico a natural,  Carragenina,  Sorbato de potasio,  Azúcar,  Sólidos lácteos,  Almidón de maíz modificado,  Gelatina,  Saborizantes naturales,  Sorbato de potasio,  Lactasa,  Cepa de yoghurt l. bulgaricus,  Cepa de yoghurt s. thermophilus","Libre de Huevo, Libre de Mariscos, Libre de Maní, Libre de Sulfitos, Libre de Trigo, Libre de Gluten, Libre de Soya, Libre de Huevo, Libre de Mariscos, Libre de Maní, Libre de Sulfitos, Libre de Trigo, Libre de Gluten",1 Unidad (165 g),1,"95 / 156.8, 95 / 156.8","3 / 5, 3 / 5","2.2 / 3.6, 2.2 / 3.6",1.51 / 2.5,0.06 / 0.1,6.2 / 10.2,15 / 24.8,9.8 / 16.2,46 / 75.9,,solido,por_100g,NO,NO,NO,NO,0
Jumbo,Yogurt Artesanal Mermelada Damasco 200 g,Jumbo Artesanal,"Yoghurt Natural y Griego > Yoghurt > Lácteos, Huevos y Congelados > Experiencias Jumbo > Marcas Exclusivas > Jumbo Artesanal",https://www.jumbo.cl/yog-art-damas-200g,"Leche fluida entera de vaca,  Leche en polvo descremada,  Concentrado de proteínas lácteas,  Cepa de yoghurt l. bulgaricus,  Cepa de yoghurt s. thermophilus,  Damasco natural,  Azúcar,  Sorbato de potasio,  Leche (caseína,  Lactosa)","Vegetariano, Libre de Soya, Libre de Peces, Libre de Mariscos, Libre de Sulfitos",1 Frasco (200 g),1,91 / 182,4.5 / 9,3 / 6,1.9 / 3.8,0 / 0,12.4 / 24.8,11.9 / 23.8,11.4 / 22.8,53 / 106,,solido,por_100g,NO,SI,NO,NO,1
Jumbo,Yogurt Artesanal Mermelada Frutilla 200 g,Jumbo Artesanal,"Yoghurt Natural y Griego > Yoghurt > Lácteos, Huevos y Congelados > Experiencias Jumbo > Marcas Exclusivas > Jumbo Artesanal",https://www.jumbo.cl/yog-art-frut-200g,"Leche fluida entera de vaca,  Leche en polvo descremada,  Concentrado de proteínas lácteas,  Cepa de yogurt l. bulgaricus,  Cepa de yogurt s. thermophilus,  Frutilla natural,  Azúcar,  Sorbato de potasio,  Caseína-lactosa (leche)","Vegetariano, Libre de Soya, Libre de Peces, Libre de Mariscos, Libre de Sulfitos",1 Frasco (200 g),1,"106 / 212, 106 / 212",4.4 / 8.8,2.9 / 5.8,1.9 / 3.8,0 / 0,12.4 / 24.8,15.6 / 31.2,12.7 / 25.4,50 / 100,,solido,por_100g,NO,SI,NO,NO,1
Jumbo,Yogurt Batido Tinguiririca Natural 1 L,Tinguiririca,"Yoghurt Batido > Yoghurt > Lácteos, Huevos y Congelados",https://www.jumbo.cl/yog-tinguiririca-1-lt-natural,"Leche entera natural pasteurizada,  Leche en polvo descremada,  Gelatina,  Almidón modificado,  Sorbato de potasio,  Cepas de yogurt","Libre de Soya, Libre de Huevo, Libre de Mariscos, Libre de Maní, Libre de Frutos Secos, Libre de Nueces, Libre de Sulfitos",1 Unidad (125 g),8,72 / 90,4.3 / 5.4,3.6 / 4.5,2.3 / 2.9,0.1 / 0.1,11.2 / 14,5.5 / 6.9,3.1 / 3.9,52 / 65,,solido,por_100g,NO,NO,NO,NO,0
Jumbo,Yogurt Batido Colun Frutilla 150 g,Colun,"Yoghurt Batido > Yoghurt > Lácteos, Huevos y Congelados",https://www.jumbo.cl/yogurt-fruti-150gr-2066182,,,,,,,,,,,,,,,indeterminado,por_100g,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Yogurt Colun Origen Frutilla 120 g,Colun,"Yoghurt Batido > Yoghurt > Lácteos, Huevos y Congelados",https://www.jumbo.cl/yoghurt-colun-origen-120g-frutilla-1959602003,"Leche fluida natural entera,  Vitamina d3,  Azúcar,  Sabor natural frutilla,  Sorbato de potasio,  Cepas de yoghurt","Libre de Soya, Libre de Huevo, Libre de Mariscos, Libre de Maní, Libre de Frutos Secos, Libre de Nueces, Libre de Sulfitos, Libre de Trigo, Libre de Gluten",1 Vaso (120 g),1,"103 / 123.6, 103 / 123.6",2.9 / 3.5,5.2 / 6.2,3.33 / 4,0.22 / 0.3,17 / 20.4,11.2 / 13.4,9.9 / 11.9,45 / 54,,solido,por_100g,NO,NO,NO,NO,0
Jumbo,Tabla de Queso Pahuilmo Queso de Cabra 300 g,Pahuilmo,Especiales y Tablas de Quesos > Quesos > Quesos y Fiambres,https://www.jumbo.cl/tabla-cabra-pahuilmo-300gr-1957593,,,,,,,,,,,,,,,indeterminado,por_100g,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Queso Mantecoso kg,Matthei,Mantecosos y Chanco > Quesos > Quesos y Fiambres,https://www.jumbo.cl/queso-mantecoso-kg,,,,,,,,,,,,,,,indeterminado,por_100g,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Queso Chacra 350 g,Quillayes,"Chacras, Frescos y Quesillos > Quesos > Quesos y Fiambres",https://www.jumbo.cl/queso-chacra-350gr-2032613,"Leche pasteurizada ultrafiltrada,  Sal,  Gelatina,  Cuajo,  Enzima lactasa","Libre de Soya, Libre de Huevo, Libre de Mariscos, Libre de Maní, Libre de Frutos Secos, Libre de Nueces, Libre de Sulfitos, Libre de Trigo, Libre de Gluten, Libre de Lactosa",1 Rebanada (30 g),12,158 / 47.4,13.9 / 4.2,9.3 / 2.8,6.42 / 1.9,0.09 / 0,44.4 / 13.3,4.8 / 1.4,3.1 / 0.9,267 / 80.1,,solido,por_100g,NO,NO,SI,NO,1
Jumbo,Pack Empanada Hoja Queso,Cuisine & Co,Empanadas y Sándwiches > Comidas Preparadas > Experiencias Jumbo > Marcas Exclusivas > Cuisine & Co,https://www.jumbo.cl/emp-hoja-queso-pack-cuisine-and-co-1961742,"Harina de trigo,  Agua,  Aceite vegetal de palma interesterificado,  Aceite vegetal de soya interesterificado,  Agua,  Sal,  Mono y diglicéridos de ácidos grasos,  Saborizante idéntico al natural,  Sorbato de potasio,  ácido cítrico,  Bht,  Colorante annato,  Colorante cúrcuma,  Manteca vegetal de palma no hidrogenada,  Bht,  ácido cítrico,  Sal,  Azúcar,  Mejorador carbonato de calcio,  Mejorador carbonato de calcio,  Mejorador estearoil lactilato de sodio,  Mejorador goma xantán,  Preservante propionato de calcio,  Preservante sorbato de potasio,  Leche parcialmente descremada,  Sal,  Cloruro de calcio,  Cultivos lácticos,  Cuajo,  Leche entera,  Sal,  Cultivos iniciadores,  Cuajo,  Agua,  Almidón de papa,  Goma de celulosa,  Hydroxipropilmetilcelulosa,  ácido cítrico,  Sorbato de potasio,  Saborizante idéntico al natural,  Agua,  Proteína de arveja,  Aceite de canola,  Dextrosa,  Maltodextrinas,  Almidón de maíz,  Gluten,  Huevo,  Leche,  Soya,  Sulfitos","Libre de Maní, Libre de Frutos Secos, Libre de Nueces",1 Unidad (120 g),2,378 / 453.6,11 / 13.2,23.9 / 28.7,13.7 / 16.4,1.1 / 1.3,23 / 27.6,29.2 / 35,0.2 / 0.2,440 / 528,,solido,por_100g,SI,NO,SI,SI,3
Jumbo,Pan de Queso 400 g,Forno de Minas,"Quiches, Sopaipillas y Otros > Comidas Congeladas > Lácteos, Huevos y Congelados",https://www.jumbo.cl/pan-forno-de-minas-de-queso-400-g-tradicional-exclusivo-jumbo,"Almidón de yuca,  Agua,  Huevo,  Leche pasteurizada,  Sal,  Fermento lácteo,  Cloruro de calcio,  Enzimas microbianas,  Aceite vegetal de soya,  Leche entera en polvo,  Mantequilla,  Leche pasteurizada,  Sal,  Fermento lácteo,  Cloruro de calcio,  Enzimas microbianas,  Sustancia conservadora nitrato de sodio,  Sal,  Suero de leche en polvo,  Leche,  Soya","Vegetariano, Libre de Peces, Libre de Mariscos, Libre de Maní, Libre de Frutos Secos, Libre de Nueces, Libre de Sulfitos, Libre de Trigo, Libre de Gluten",2 Unidades (54 g),7,"294 / 158.8, 294 / 158.8","6.6 / 3.6, 6.6 / 3.6","14.8 / 8, 14.8 / 8","5.5 / 3, 5.5 / 3",0.2 / 0.1,72.7 / 39.3,33.7 / 18.2,1.8 / 1,554 / 299.2,,solido,por_100g,SI,NO,SI,SI,3
Jumbo,Set 4 Cuchillos de Queso,Krea,"Cocina y Mesa > Hogar > Hogar, Juguetería y Librería > Quesos y Fiambres > Quesos > Accesorios de Quesos",https://www.jumbo.cl/krea-set-4-cuchillos-de-queso-1907661,,,,,,,,,,,,,,,indeterminado,por_100g,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Queso de Cabeza Braunau kg,Braunau,"Mortadelas, Arrollados y Otros > Fiambres > Quesos y Fiambres",https://www.jumbo.cl/queso-cabeza-kg-branau,,,,,,,,,,,,,,,indeterminado,por_100g,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Queso Brie Président Trozo,President,Especiales y Tablas de Quesos > Quesos > Quesos y Fiambres,https://www.jumbo.cl/queso-brie-granel-719135-kg,,,,,,,,,,,,,,,indeterminado,por_100g,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Queso de Sangre Braunau kg,Braunau,"Jamón Serrano, Lomo Kassler y Otros > Fiambres > Quesos y Fiambres",https://www.jumbo.cl/queso-sangre-braunau-grande,,,,,,,,,,,,,,,indeterminado,por_100g,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Bagel Semilla Pollo Queso,Platos Preparados,Empanadas y Sándwiches > Comidas Preparadas > Experiencias Jumbo,https://www.jumbo.cl/bagel-semilla-pollo-queso-un-1952396,"Harina,  Azúcar,  Grasa de vacuno,  Grasa de cerdo,  Bht,  Bha,  ácido cítrico,  Propilenglicol,  Leche entera en polvo,  Sal,  Estearoil lactilato de sodio,  Cloruro de potasio,  Levadura inactiva,  Propionato de calcio,  Saborizante natural,  Enzimas,  ácido ascórbico,  Aceite,  Levadura,  Gluten vital,  Avena,  Linaza,  Semilla amapola,  Semilla sésamo,  Tomate,  Crema de leche,  Leche entera pasteurizada,  Crema leche pasteurizada,  Leche descremada,  Cultivo láctico,  Sal,  Estabilizantes,  Sal,  Pimienta,  Ciboulette,  Pechuga de pollo,  Agua,  Aceitunas,  Pepinillos,  Leche pasteurizada fluida y ultrafiltrada,  Cloruro de calcio,  Sal,  Cuajo,  Cultivos lácteos seleccionados,  Cultivo lácteo penicillium candidum,  Leche,  Escarola baby,  Lolo rosa,  Mizuna,  Lolo roble,  Gluten,  Soya,  Derivados de soya,  Derivados de leche","Libre de Huevo, Libre de Mariscos",1 Unidad (230 g),1,205 / 471.5,10 / 23,8 / 18.4,4 / 9.2,0 / 0,25 / 57.5,22 / 50.6,4 / 9.2,314 / 722.2,,solido,por_100g,NO,NO,SI,NO,1
Jumbo,Queso Soprole Rodda Granel,Soprole,Gauda > Quesos > Quesos y Fiambres,https://www.jumbo.cl/queso-rodda-kg-2064682-kg,,,,,,,,,,,,,,,indeterminado,por_100g,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Queso de Cabeza Pacel Granel,Pacel,"Mortadelas, Arrollados y Otros > Fiambres > Quesos y Fiambres",https://www.jumbo.cl/queso-de-cabeza-pacel-granel,,,,,,,,,,,,,,,indeterminado,por_100g,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Queso Chacra 200 g,Quillayes,"Chacras, Frescos y Quesillos > Quesos > Quesos y Fiambres",https://www.jumbo.cl/queso-chacra-200-g-1793088,"Leche pasteurizada ultrafiltrada,  Sal,  Gelatina,  Cuajo, Leche pasteurizada ultrafiltrada,  Sal,  Gelatina,  Cuajo","Libre de Soya, Libre de Huevo, Libre de Mariscos, Libre de Maní, Libre de Soya, Libre de Frutos Secos, Libre de Huevo, Libre de Nueces, Libre de Mariscos, Libre de Sulfitos, Libre de Maní, Libre de Trigo, Libre de Frutos Secos, Libre de Gluten, Libre de Nueces, Libre de Sulfitos, Libre de Trigo, Libre de Gluten","1 Rebanada (30 g), 1 Rebanada (30 g)","7, 7","187 / 56.1, 187 / 56.1","12.7 / 3.8, 12.7 / 3.8","14.1 / 4.2, 14.1 / 4.2","9.94 / 3, 9.94 / 3","0.11 / 0, 0.11 / 0","39.5 / 11.9, 39.5 / 11.9","2.4 / 0.7, 2.4 / 0.7","1.2 / 0.4, 1.2 / 0.4","300 / 90, 300 / 90",,solido,por_100g,NO,NO,SI,NO,1
Jumbo,Empanada Frita Queso un.,Jumbo,Empanadas y Sándwiches > Comidas Preparadas > Experiencias Jumbo,https://www.jumbo.cl/empanada-frita-queso-rosycar-485504,,,,,,,,,,,,,,,indeterminado,por_100g,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Croissant Queso Tocino Salad,Platos Preparados,Empanadas y Sándwiches > Comidas Preparadas > Experiencias Jumbo,https://www.jumbo.cl/croissant-queso-tocino-salad-un-1952403,"Harina de trigo,  Margarina,  Azúcar granulada,  Sal,  Levadura,  Agua,  Agua,  Aceite vegetal (soya),  Aceite vegetal (maravilla),  Almidón modificado de maíz,  Azúcar,  Vinagre,  Yema de huevo deshidratada,  Sal,  Gluconato de sodio,  Cloruro de potasio,  Jugo de limón concentrado,  ácido cítrico,  Goma xantan,  Saborizante idéntico al natural,  Sorbato de potasio,  Benzoato de sodio,  Edta,  Bha,  Propil galato,  Colorante betacaroteno,  Tocino,  Queso gauda,  Tomate,  Escarola baby,  Lolo rosa,  Mizuna,  Lolo roble,  Gluten,  Soya,  Derivados de soya",Libre de Mariscos,1 Unidad (210 g),1,252 / 529.2,8 / 16.8,15 / 31.5,8 / 16.8,0 / 0,48 / 100.8,20 / 42,5 / 10.5,555 / 1165.5,,solido,por_100g,NO,NO,SI,SI,2
Jumbo,Ciabatta Serrano Queso Cabra,Platos Preparados,Empanadas y Sándwiches > Comidas Preparadas > Experiencias Jumbo,https://www.jumbo.cl/ciabatta-serrano-queso-cabra-un-1952402,"Harina de trigo,  Masa madre deshidratada,  Aceite de oliva,  Sal,  Sal de mar,  Agua,  Levadura,  Tomate seco deshidratado,  Crema de leche,  Queso crema,  Queso de cabra,  Aceitunas negras,  Jamón serrano,  Hojas de rúcula,  Gluten,  Soya,  Derivados de soya,  Leche,  Derivados de leche","Libre de Huevo, Libre de Mariscos",1 Unidad (228 g),1,259 / 590.5,13 / 29.6,9 / 20.5,4 / 9.1,0 / 0,15 / 34.2,32 / 73,2 / 4.6,555 / 1265.4,,solido,por_100g,NO,NO,SI,SI,2
Jumbo,Queso Mantecoso Matthei Laminado Granel,Matthei,Mantecosos y Chanco > Quesos > Quesos y Fiambres,https://www.jumbo.cl/queso-mantecoso-laminado-matthei-granel,,,,,,,,,,,,,,,indeterminado,por_100g,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Queso Chanco Quillayes Trozo Granel,Quillayes,Mantecosos y Chanco > Quesos > Quesos y Fiambres,https://www.jumbo.cl/queso-chanco-campo-bueno-granel,,,,,,,,,,,,,,,indeterminado,por_100g,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Queso Fresco Pucará Trozo Granel,Pucará,"Chacras, Frescos y Quesillos > Quesos > Quesos y Fiambres",https://www.jumbo.cl/queso-fresco-kg,,,,,,,,,,,,,,,indeterminado,por_100g,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Queso Gauda Veldhuyzen Trozo Granel,Veldhuyzen,Quesos Importados > Quesos > Quesos y Fiambres,https://www.jumbo.cl/queso-gouda-veldhuyzen-granel,,,,,,,,,,,,,,,indeterminado,por_100g,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Cheetos Queso Crema 220 g,Evercrisp,"Ramitas, Suflés y Otros Snacks > Snacks > Chocolates, Galletas y Snacks",https://www.jumbo.cl/cheetos-queso-crema-250-gr-1948544,"Sémola de maíz (73%),  Aceite de soya,  Tbhq,  Suero de leche,  Jarabe de glucosa,  Aceite de palma,  Sal,  Cloruro de potasio,  Maltodextrina,  Glutamato monosódico,  Saborizantes idénticos al natural,  ácido láctico,  Extracto de bija,  Curcumina,  Mono y diglicéridos de ácidos grasos,  ácido cítrico,  Guanilato disódico,  Inosinato disódico,  Carbonato de calcio,  Suero de leche (leche)","Libre de Huevo, Libre de Peces, Libre de Mariscos, Libre de Nueces, Libre de Sulfitos",1/2 Taza de Té (25 g),9,507 / 126.8,5.41 / 1.4,25 / 6.3,4.18 / 1,0.11 / 0,0.6 / 0.2,65 / 16.3,3.4 / 0.9,445 / 111.3,,solido,por_100g,SI,NO,SI,SI,3
Jumbo,Cheezels Sabor Queso 100 g,Evercrisp,"Ramitas, Suflés y Otros Snacks > Snacks > Chocolates, Galletas y Snacks",https://www.jumbo.cl/cheezels-retro-snack-evercrisp-100-gr-1899120,"Sémola de maíz,  Aceite de soya,  Tbhq,  Suero de leche,  Maltodextrina,  Aceite de soya,  Queso maduro,  Saborizante natural,  Saborizante artificial,  Proteína de soya hidrolizada,  Glutamato monosódico,  Cloruro de sodio,  Ortofosfato disódico,  ácido láctico,  Dióxido de titanio,  Suero de leche,  Sal reducida de sodio,  Extracto vegetal,  Aceite de girasol,  Monooleato de sorbitán,  Propilenglicol,  Oleorresinas de pimentón,  Hidróxido de potasio,  Extractos de bija,  Curcuminas,  Lecitina de soya,  Suero de leche (leche),  Queso (leche),  Lecitina de soya (soya),  Proteína de soya hidrolizada (soya)","Vegetariano, Libre de Huevo, Libre de Peces, Libre de Mariscos, Libre de Nueces, Libre de Sulfitos",1 Taza de Té (25 g),4,507 / 126.8,6.6 / 1.7,25 / 6.3,3.9 / 1,0.1 / 0,1.9 / 0.5,64 / 16,4.8 / 1.2,706 / 176.5,,solido,por_100g,SI,NO,NO,SI,2
Jumbo,Empanada Champiñón Queso 460 g,La Crianza,"Empanadas Congeladas > Comidas Congeladas > Lácteos, Huevos y Congelados",https://www.jumbo.cl/empanada-champinon-queso-la-crianza-460-g,"Harina de trigo,  Champiñones,  Queso gouda,  Agua,  Aceite de soya,  Queso parmesano,  Crema de leche,  Leche en polvo descremada,  Mono y diglicéridos de ácidos grasos,  Carragenina,  Sal,  Sésamo,  Saborizante natural,  Gluten,  Leche,  Soya,  Sulfitos",,1 Unidad (46 g),10,267 / 122.8,9.27 / 4.3,12.7 / 5.8,4.59 / 2.1,0.37 / 0.2,13.1 / 6,28.7 / 13.2,0.83 / 0.4,496 / 228.2,,solido,por_100g,NO,NO,SI,SI,2
Jumbo,Empanada Mechada Queso 460 g,La Crianza,"Empanadas Congeladas > Comidas Congeladas > Lácteos, Huevos y Congelados",https://www.jumbo.cl/empanada-mechada-queso-la-crianza-460-g,"Harina de trigo,  Carne de vacuno,  Queso gauda granulado,  Agua,  Aceite de soya,  Crema de leche,  Leche en polvo descremada,  Mono y diglicéridos de ácidos grasos,  Carragenina,  Cebolla,  ácido cítrico,  Queso parmesano,  Sal,  Saborizante natural,  Gluten,  Leche,  Soya,  Sulfitos",,1 Unidad (46 g),10,322 / 148.1,12 / 5.5,17.6 / 8.1,6.41 / 2.9,0.63 / 0.3,27.3 / 12.6,28.8 / 13.2,0.67 / 0.3,398 / 183.1,,solido,por_100g,SI,NO,SI,NO,2
Jumbo,Snack de Todito Queso 220 g,Evercrisp,"Ramitas, Suflés y Otros Snacks > Snacks > Chocolates, Galletas y Snacks",https://www.jumbo.cl/detodito-ii-evercrisp-290g-1860065,"Sémola de maíz,  Aceite de soya,  Tbhq,  Suero de leche,  Maltodextrina,  Aceite de soya,  Queso maduro,  Saborizante natural,  Saborizante artificial,  Proteína de soya hidrolizada,  Glutamato monosódico,  Cloruro de sodio,  Ortofosfato disódico,  ácido láctico,  Dióxido de titanio,  Suero de leche,  Sal reducida en sodio,  Extracto vegetal,  Aceite de girasol,  Monooleato de sorbitán,  Propilenglicol,  Oleorresinas de pimentón,  Hidróxido de potasio,  Extractos de bija,  Curcuminas,  Lecitina de soya,  Maíz,  Aceite de girasol,  Tbhq,  Maltodextrina,  Quesos,  Sal,  Azúcar,  Glutamato monosódico,  Cebolla,  Saborizante artificial,  Sólidos de la leche,  Ajo,  Pimienta,  ácido cítrico,  Aceite de soya,  Amarillo ocaso (ins 110),  Caramelo iv -proceso al sulfito amónico,  Dióxido de silicio amorfo,  Inosinato de sodio,  Guanilato de sodio,  Papas,  Aceite de girasol,  Tbhq,  Sal,  Suero de leche (leche),  Queso (leche),  Sólidos de la leche (leche),  Lecitina de soya (soya),  Proteína de soya hidrolizada (soya)","Libre de Huevo, Libre de Peces, Libre de Mariscos, Libre de Nueces",1 1/2 Taza de Té (25 g),9,517 / 129.3,6.4 / 1.6,27 / 6.8,3.5 / 0.9,0.09 / 0,1.2 / 0.3,62 / 15.5,3 / 0.8,616 / 154,,solido,por_100g,SI,NO,NO,SI,2
Jumbo,Queso Mantecoso Dos Castaños 500 g,Dos Castaños,Mantecosos y Chanco > Quesos > Quesos y Fiambres,https://www.jumbo.cl/queso-mantecoso-dos-castanos-500gr,"Leche de vaca pasteurizada,  Cultivos lácticos seleccionados,  Cloruro de calcio,  Sal,  Cuajo,  Caseína de leche,  Lactosa","Libre de Soya, Libre de Huevo, Libre de Peces, Libre de Mariscos, Libre de Maní, Libre de Frutos Secos, Libre de Nueces, Libre de Sulfitos, Libre de Trigo",1 Rebanada (30 g),16,381 / 114.3,22 / 6.6,32 / 9.6,21 / 6.3,0 / 0,51 / 15.3,0.8 / 0.2,0.8 / 0.2,344 / 103.2,,solido,por_100g,SI,NO,SI,NO,2
Jumbo,Canelones Jamón Queso 660 g,Jumbo Artesanal,Pastas Frescas y Salsas > Comidas Preparadas > Experiencias Jumbo > Marcas Exclusivas > Jumbo Artesanal,https://www.jumbo.cl/canelones-jamon-queso-jumbo-artesanal-660-g,,,,,,,,,,,,,,,solido,por_100g,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Cheetos Palitos Queso 200 g,Evercrisp,"Ramitas, Suflés y Otros Snacks > Snacks > Chocolates, Galletas y Snacks",https://www.jumbo.cl/cheetos-palitos-200-gr-1949962,"Sémola de maíz (84%),  Aceite de soya,  Tbhq,  Suero de leche,  Maltodextrina,  Aceite de soya,  Sal,  Proteína de soya,  Queso,  Glutamato monosódico,  Saborizante artificial,  Ortofosfato disódico,  ácido láctico,  Saborizante idéntico al natural,  Monooleato de sorbitán,  Aceite de girasol,  Monooleato de polioxietilén (20) sorbitán,  Oleorresinas de pimentón,  Propilenglicol,  Curcumina,  Hidróxido de potasio,  Extractos de bija,  Sal reducida en sodio con extracto vegetal,  Sabor idéntico al natural,  Queso (leche),  Proteína de soya (soya)","Vegetariano, Libre de Huevo, Libre de Peces, Libre de Mariscos, Libre de Nueces, Libre de Sulfitos",1 Taza de Té (25 g),8,491 / 122.8,6.4 / 1.6,21 / 5.3,3 / 0.8,0.1 / 0,0.4 / 0.1,69 / 17.3,2.2 / 0.6,502 / 125.5,,solido,por_100g,SI,NO,NO,SI,2
Jumbo,Queso Oveja Boladero Trozo Granel,Boladero,Cabra y Oveja > Quesos > Quesos y Fiambres,https://www.jumbo.cl/queso-boladero-oveja-pecorino-trozo,,,,,,,,,,,,,,,indeterminado,por_100g,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Ñoquis Queso Gorgonzola 400 g,Rana,Pastas Frescas y Salsas > Comidas Preparadas > Experiencias Jumbo,https://www.jumbo.cl/gnocchi-rana-queso-y-gorgonzola-400-g,"Agua,  Copos de papas,  Sémola de trigo duro,  Almidón de maíz modificado,  Sal,  Harina de arroz,  Aceite de semillas de girasol,  Cúrcuma,  Suero de leche,  Leche,  Sal,  Leche,  Fermentos lácticos,  Sal,  Cuajo,  Cultivos seleccionados,  Leche,  Sal,  Fermentos lácticos,  Cuajo microbiano,  Suero de leche en polvo,  Almidón de papa,  Harina de trigo blando,  Agua,  Sal,  Levadura,  Fibra vegetal (maíz),  Fibra vegetal (papa),  Crema de leche,  Regulador de acidez ácido cítrico,  Leche pasteurizada,  Cuajo,  Sal,  Fermentos lácticos,  Sal,  Saborizantes naturales,  Trigo (gluten),  Productos lácteos",Libre de Sulfitos,1 Taza (200 g),2,227 / 454,12 / 24,3.4 / 6.8,2.2 / 4.4,0.13 / 0.3,10 / 20,36 / 72,2.4 / 4.8,663 / 1326,,solido,por_100g,NO,NO,NO,SI,1
Jumbo,Aceitunas Verdes Rellenas Queso Granel,Cuisine & Co,"Aceitunas > Aceitunas, Pepinillos y Otros > Quesos y Fiambres > Experiencias Jumbo > Marcas Exclusivas > Cuisine & Co",https://www.jumbo.cl/aceituna-2040864-kg,,,,,,,,,,,,,,,indeterminado,por_100g,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Queso Gauda Colun Laminado Granel,Colun,Gauda > Quesos > Quesos y Fiambres,https://www.jumbo.cl/queso-ranco-colun-laminado-granel-2-2-2-2-2,,,,,,,,,,,,,,,indeterminado,por_100g,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Queso Cabra Quillayes Trozo Granel,Quillayes,Cabra y Oveja > Quesos > Quesos y Fiambres,https://www.jumbo.cl/queso-de-cabra-quillayes-granel-2,,,,,,,,,,,,,,,indeterminado,por_100g,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Queso Mantecoso Quilque Laminado Granel,Soprole,Mantecosos y Chanco > Quesos > Quesos y Fiambres,https://www.jumbo.cl/queso-mantecoso-quilque-granel,,,,,,,,,,,,,,,indeterminado,por_100g,sin_datos,sin_datos,sin_datos,sin_datos,0
Jumbo,Queso Fresco Pote 320 g,Colun,"Chacras, Frescos y Quesillos > Quesos > Quesos y Fiambres",https://www.jumbo.cl/queso-fresco-colun-pack-2-unidades-potes-de-160-g-c-u,"Leche pasteurizada,  Sal,  Cuajo,  Vitamina d3","Libre de Huevo, Libre de Mariscos, Libre de Maní, Libre de Frutos Secos, Libre de Nueces, Libre de Sulfitos, Libre de Trigo, Libre de Gluten, Libre de Soya, Libre de Huevo, Libre de Mariscos, Libre de Maní, Libre de Frutos Secos, Libre de Nueces, Libre de Sulfitos, Libre de Trigo, Libre de Gluten",1 Rebanada (30 g),11,"177 / 53.1, 177 / 53.1","12.6 / 3.8, 12.6 / 3.8","12.1 / 3.6, 12.1 / 3.6","7.74 / 2.3, 7.74 / 2.3","0.52 / 0.2, 0.52 / 0.2",39 / 11.7,4.5 / 1.4,3.3 / 1,258 / 77.4,,solido,por_100g,NO,NO,SI,NO,1
